Provinsi Faskes,jumlah_faskes,jumlah_kunjungan,rata_bobot,total_bobot,cluster,kategori_faskes
Aceh,13172,13172,104.33075056030256,1374244.6463803053,0,Kurang Memadai
Bali,18814,18814,66.80443928247304,1256858.7206604478,0,Kurang Memadai
Banten,22925,22925,156.53813188862256,3588636.673546672,2,Cukup Memadai
Bengkulu,10877,10877,54.52760220227723,593096.7291541694,0,Kurang Memadai
DI Yogyakarta,10660,10660,121.68451484100119,1297156.9282050726,0,Kurang Memadai
DKI Jakarta,37547,37547,222.40549061049265,8350658.9559521675,2,Cukup Memadai
Gorontalo,3142,3142,106.22673277777898,333764.39438778156,0,Kurang Memadai
Jambi,6944,6944,71.21869048519996,494542.5867292285,0,Kurang Memadai
Jawa Barat,70261,70261,137.65697613603453,9671916.800293922,1,Memadai
Jawa Tengah,93701,93701,118.95793337426218,11146477.31510174,1,Memadai
Jawa Timur,77345,77345,139.55022414651373,10793512.086612104,1,Memadai
Kalimantan Barat,7707,7707,76.36655756743389,588557.059172213,0,Kurang Memadai
Kalimantan Selatan,11103,11103,62.55488154001947,694546.8497388362,0,Kurang Memadai
Kalimantan Tengah,4826,4826,61.413626635242586,296382.1621416807,0,Kurang Memadai
Kalimantan Timur,9657,9657,79.93437176339803,771926.2281191348,0,Kurang Memadai
Kalimantan Utara,1380,1380,69.0148914090965,95240.55014455317,0,Kurang Memadai
Kepulauan Bangka Belitung,3728,3728,89.21632538520024,332598.4610360265,0,Kurang Memadai
Kepulauan Riau,5076,5076,94.70016661879345,480698.04575699556,0,Kurang Memadai
Lampung,16913,16913,106.39419721854694,1799445.0575572844,0,Kurang Memadai
Maluku,3834,3834,50.06072234340988,191932.80946463346,0,Kurang Memadai
Maluku Utara,2791,2791,47.28452194604083,131971.10075139996,0,Kurang Memadai
Nusa Tenggara Barat,8771,8771,163.05104540852315,1430120.7192781565,2,Cukup Memadai
Nusa Tenggara Timur,6742,6742,65.03877066634097,438491.39183247084,0,Kurang Memadai
Papua,2116,2116,54.01346640097282,114292.49490445848,0,Kurang Memadai
Papua Barat,976,976,45.88155776640919,44780.400380015366,0,Kurang Memadai
Riau,16431,16431,93.0419735589717,1528772.6675474641,0,Kurang Memadai
Sulawesi Barat,4255,4255,101.65214367669279,432529.8713443278,0,Kurang Memadai
Sulawesi Selatan,24143,24143,99.44755860514948,2400962.407404124,0,Kurang Memadai
Sulawesi Tengah,7689,7689,86.15641580636205,662456.6811351178,0,Kurang Memadai
Sulawesi Tenggara,11436,11436,55.89085276676103,639167.7922406791,0,Kurang Memadai
Sulawesi Utara,7135,7135,65.16007173423091,464917.1118237375,0,Kurang Memadai
Sumatera Barat,14108,14108,100.96065676358913,1424352.9456207154,0,Kurang Memadai
Sumatera Selatan,23701,23701,79.43692737864791,1882734.615801334,0,Kurang Memadai
Sumatera Utara,40094,40094,96.83964351718696,3882688.667178094,2,Cukup Memadai
